bootstrap_draw,total_event_copies,multi_horizon_captured_events,matched_60_day_base_captured_events,event_coverage_difference
781,708,269,272,-0.0042372881355932
782,714,231,236,-0.0070028011204481
783,735,283,288,-0.0068027210884353
784,705,264,273,-0.0127659574468085
785,694,266,277,-0.015850144092219
786,743,263,273,-0.0134589502018842
787,644,244,260,-0.0248447204968944
788,705,251,257,-0.0085106382978723
789,675,264,268,-0.0059259259259259
790,650,238,246,-0.0123076923076923
791,709,254,265,-0.0155148095909732
792,686,278,284,-0.0087463556851311
793,684,266,273,-0.0102339181286549
794,683,266,285,-0.027818448023426
795,672,255,268,-0.019345238095238
796,645,260,264,-0.0062015503875968
797,743,280,287,-0.0094212651413189
798,752,284,298,-0.0186170212765957
799,663,266,273,-0.0105580693815987
800,693,252,265,-0.0187590187590187
801,770,252,261,-0.0116883116883116
802,750,306,311,-0.0066666666666666
803,630,259,259,0.0
804,824,302,311,-0.0109223300970873
805,668,251,254,-0.0044910179640718
806,712,277,284,-0.0098314606741573
807,677,261,269,-0.0118168389955686
808,613,237,242,-0.0081566068515497
809,666,258,268,-0.015015015015015
810,666,241,245,-0.006006006006006
811,717,293,304,-0.0153417015341701
812,757,275,290,-0.0198150594451783
813,746,281,291,-0.0134048257372654
814,625,256,263,-0.0112
815,618,245,253,-0.0129449838187702
816,680,242,254,-0.0176470588235294
817,628,249,258,-0.0143312101910828
818,670,240,252,-0.017910447761194
819,650,262,264,-0.003076923076923
820,726,248,258,-0.0137741046831955
821,682,283,290,-0.0102639296187683
822,693,272,280,-0.0115440115440115
823,665,267,277,-0.0150375939849624
824,698,259,277,-0.0257879656160458
825,712,263,275,-0.0168539325842696
826,676,237,245,-0.0118343195266272
827,714,298,309,-0.0154061624649859
828,764,309,317,-0.0104712041884816
829,663,258,269,-0.0165912518853695
830,724,255,265,-0.0138121546961325
831,763,291,296,-0.0065530799475753
832,715,283,292,-0.0125874125874125
833,675,269,275,-0.0088888888888888
834,613,244,256,-0.0195758564437194
835,746,279,282,-0.0040214477211796
836,649,257,268,-0.0169491525423728
837,624,251,257,-0.0096153846153846
838,660,262,268,-0.009090909090909
839,693,269,278,-0.0129870129870129
840,754,272,280,-0.0106100795755968
841,757,307,321,-0.0184940554821664
842,727,261,279,-0.0247592847317744
843,694,275,281,-0.0086455331412103
844,691,275,289,-0.0202604920405209
845,747,284,293,-0.0120481927710843
846,714,289,302,-0.0182072829131652
847,593,228,227,0.0016863406408094
848,811,303,307,-0.0049321824907521
849,720,265,269,-0.0055555555555555
850,783,301,303,-0.0025542784163473
851,761,275,285,-0.0131406044678055
852,643,239,256,-0.0264385692068429
853,744,284,287,-0.0040322580645161
854,606,246,257,-0.0181518151815181
855,589,251,257,-0.0101867572156196
856,732,263,276,-0.01775956284153
857,700,272,270,0.0028571428571428
858,666,256,254,0.003003003003003
859,767,283,296,-0.0169491525423728
860,667,251,263,-0.0179910044977511
861,677,266,276,-0.0147710487444608
862,689,254,258,-0.0058055152394775
863,703,281,283,-0.0028449502133712
864,651,258,262,-0.0061443932411674
865,687,247,259,-0.0174672489082969
866,657,240,249,-0.0136986301369863
867,725,246,253,-0.0096551724137931
868,770,287,288,-0.0012987012987012
869,689,269,280,-0.0159651669085631
870,662,241,244,-0.0045317220543806
871,676,241,254,-0.0192307692307692
872,651,242,251,-0.0138248847926267
873,687,263,282,-0.0276564774381368
874,612,240,246,-0.0098039215686274
875,711,255,269,-0.0196905766526019
876,620,244,249,-0.0080645161290322
877,649,230,250,-0.0308166409861325
878,787,296,306,-0.0127064803049555
879,745,273,285,-0.0161073825503355
880,693,262,272,-0.0144300144300144
881,725,262,275,-0.0179310344827586
882,776,317,321,-0.0051546391752577
883,677,254,270,-0.0236336779911373
884,688,250,253,-0.004360465116279
885,651,242,256,-0.021505376344086
886,610,242,255,-0.021311475409836
887,711,284,298,-0.0196905766526019
888,622,256,262,-0.0096463022508038
889,630,238,246,-0.0126984126984126
890,742,290,305,-0.0202156334231805
891,644,252,260,-0.0124223602484472
892,728,274,285,-0.0151098901098901
893,704,286,299,-0.018465909090909
894,651,226,238,-0.0184331797235023
895,694,265,275,-0.0144092219020172
896,625,224,232,-0.0128
897,764,270,281,-0.0143979057591623
898,663,253,266,-0.0196078431372549
899,668,244,262,-0.0269461077844311
900,671,247,267,-0.029806259314456
901,727,286,297,-0.015130674002751
902,744,275,279,-0.0053763440860215
903,683,272,280,-0.0117130307467057
904,628,243,252,-0.0143312101910828
905,716,279,282,-0.0041899441340782
906,688,269,277,-0.0116279069767441
907,687,280,281,-0.0014556040756914
908,669,244,247,-0.0044843049327354
909,703,266,274,-0.011379800853485
910,767,288,294,-0.0078226857887874
911,738,269,277,-0.010840108401084
912,750,279,286,-0.0093333333333333
913,677,264,269,-0.0073855243722304
914,731,280,282,-0.0027359781121751
915,862,317,321,-0.0046403712296983
916,677,262,269,-0.0103397341211226
917,687,247,251,-0.0058224163027656
918,699,257,270,-0.0185979971387696
919,697,269,276,-0.0100430416068866
920,647,258,265,-0.0108191653786707
921,767,273,282,-0.0117340286831812
922,672,284,289,-0.0074404761904761
923,735,271,274,-0.0040816326530612
924,730,286,292,-0.0082191780821917
925,663,261,269,-0.0120663650075414
926,706,289,289,0.0
927,720,259,265,-0.0083333333333333
928,661,254,263,-0.0136157337367624
929,665,253,253,0.0
930,701,256,265,-0.0128388017118402
931,657,265,276,-0.0167427701674277
932,724,270,280,-0.0138121546961325
933,642,248,265,-0.0264797507788162
934,724,266,287,-0.0290055248618784
935,654,252,262,-0.0152905198776758
936,760,283,285,-0.0026315789473684
937,658,249,251,-0.0030395136778115
938,724,287,299,-0.0165745856353591
939,744,273,286,-0.0174731182795698
940,698,262,271,-0.0128939828080229
941,680,250,258,-0.0117647058823529
942,704,276,287,-0.015625
943,683,254,264,-0.0146412884333821
944,784,294,301,-0.0089285714285714
945,732,280,294,-0.0191256830601092
946,663,221,237,-0.0241327300150829
947,727,293,295,-0.0027510316368638
948,704,265,274,-0.0127840909090909
949,678,270,283,-0.0191740412979351
950,731,281,285,-0.0054719562243502
951,636,238,240,-0.0031446540880503
952,731,275,276,-0.0013679890560875
953,713,252,251,0.0014025245441795
954,625,246,254,-0.0128
955,734,282,287,-0.0068119891008174
956,672,248,253,-0.0074404761904761
957,728,285,294,-0.0123626373626373
958,727,265,270,-0.0068775790921595
959,728,258,260,-0.0027472527472527
960,742,277,285,-0.0107816711590296
961,767,301,309,-0.0104302477183833
962,656,284,285,-0.0015243902439024
963,725,279,287,-0.0110344827586206
964,676,270,285,-0.022189349112426
965,704,275,283,-0.0113636363636363
966,697,287,292,-0.0071736011477761
967,771,267,281,-0.0181582360570687
968,663,253,257,-0.0060331825037707
969,687,251,261,-0.0145560407569141
970,612,251,252,-0.0016339869281045
971,715,266,281,-0.0209790209790209
972,600,228,234,-0.01
973,689,243,256,-0.0188679245283018
974,721,289,287,0.0027739251040221
975,678,287,289,-0.0029498525073746
976,769,283,293,-0.0130039011703511
977,737,254,257,-0.0040705563093622
978,687,250,259,-0.0131004366812227
979,712,275,282,-0.0098314606741573
980,665,263,268,-0.0075187969924812
981,739,262,272,-0.013531799729364
982,688,275,289,-0.0203488372093023
983,737,265,280,-0.0203527815468114
984,636,253,252,0.0015723270440251
985,631,253,264,-0.0174326465927099
986,773,294,310,-0.0206985769728331
987,717,273,288,-0.0209205020920502
988,612,237,243,-0.0098039215686274
989,655,249,253,-0.0061068702290076
990,766,286,297,-0.0143603133159268
991,674,287,292,-0.0074183976261127
992,658,253,259,-0.0091185410334346
993,768,290,295,-0.0065104166666666
994,775,290,297,-0.0090322580645161
995,738,284,296,-0.016260162601626
996,667,270,276,-0.0089955022488755
997,626,235,243,-0.0127795527156549
998,622,250,259,-0.0144694533762057
999,775,309,312,-0.0038709677419354
1000,712,249,262,-0.0182584269662921
1001,702,237,249,-0.017094017094017
1002,704,243,257,-0.0198863636363636
1003,728,258,271,-0.0178571428571428
1004,663,252,266,-0.0211161387631975
1005,698,285,290,-0.0071633237822349
1006,699,279,288,-0.0128755364806866
1007,706,283,298,-0.0212464589235127
1008,687,249,254,-0.007278020378457
1009,674,245,252,-0.0103857566765578
1010,650,235,241,-0.0092307692307692
1011,788,311,324,-0.016497461928934
1012,767,305,316,-0.014341590612777
1013,657,262,267,-0.0076103500761035
1014,645,237,243,-0.0093023255813953
1015,709,292,300,-0.0112834978843441
1016,703,266,269,-0.0042674253200568
1017,700,239,241,-0.0028571428571428
1018,708,244,252,-0.0112994350282485
