panel,policy,display_name,observation_id,value,ecdf,denominator_n,metric,candidate_lake_n,origin_n,adjacent_pair_n,total_selection_slots,unique_selected_lakes,unique_lake_reach_percent,repeat_selection_median,repeat_selection_lower_quartile,repeat_selection_upper_quartile,repeat_selection_mean,jaccard_mean,jaccard_median,jaccard_lower_quartile,jaccard_upper_quartile,jaccard_turnover_mean
a,multi_horizon,Multi-horizon,2025-03-02,0.4235588972431077,0.13178294573643412,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2024-12-08,0.4300254452926209,0.13953488372093023,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2024-09-29,0.4338624338624338,0.14728682170542637,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2024-11-24,0.4401041666666667,0.15503875968992248,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2025-05-25,0.4464285714285714,0.16279069767441862,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2024-06-09,0.4473007712082262,0.17054263565891473,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2025-07-20,0.4473007712082262,0.17829457364341086,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2025-06-08,0.4501278772378516,0.18604651162790697,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2023-06-25,0.4510309278350515,0.1937984496124031,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2021-02-21,0.4526854219948849,0.20155038759689922,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
