bootstrap_draw,total_event_copies,captured__primary_31_60__multi_horizon,captured__primary_31_60__direct_60_day,capture_rate_difference__primary_31_60,captured__secondary_1_60__multi_horizon,captured__secondary_1_60__direct_60_day,capture_rate_difference__secondary_1_60
4331,753,267,183,0.11155378486055778,481,272,0.2775564409030544
4332,686,255,219,0.05247813411078717,407,285,0.1778425655976677
4333,686,277,219,0.08454810495626819,442,306,0.19825072886297374
4334,693,284,208,0.10966810966810964,453,290,0.23520923520923515
4335,687,285,246,0.05676855895196509,467,331,0.19796215429403202
4336,716,259,225,0.04748603351955305,483,324,0.22206703910614523
4337,657,242,191,0.0776255707762557,393,265,0.19482496194824966
4338,698,250,207,0.06160458452722062,471,298,0.24785100286532952
4339,625,223,154,0.1104,376,210,0.2656
4340,712,257,231,0.0365168539325843,439,317,0.1713483146067416
4341,694,259,183,0.10951008645533139,445,259,0.26801152737752165
4342,731,277,223,0.07387140902872774,484,307,0.24213406292749662
4343,710,258,206,0.07323943661971832,436,290,0.20563380281690136
4344,676,245,188,0.08431952662721898,407,276,0.19378698224852076
4345,669,244,213,0.04633781763826611,417,306,0.1659192825112108
4346,722,263,177,0.11911357340720224,479,259,0.3047091412742382
4347,611,210,153,0.09328968903436985,363,231,0.21603927986906712
4348,660,253,186,0.10151515151515156,421,273,0.2242424242424243
4349,690,263,219,0.06376811594202897,454,314,0.2028985507246377
4350,672,254,186,0.10119047619047616,418,275,0.21279761904761907
4351,652,265,211,0.08282208588957052,416,272,0.22085889570552147
4352,706,283,194,0.12606232294617564,455,281,0.2464589235127479
4353,707,239,170,0.0975954738330976,420,258,0.2291371994342291
4354,743,265,216,0.06594885598923284,486,296,0.25572005383580076
4355,707,257,193,0.09052333804809054,450,291,0.2248939179632249
4356,655,255,216,0.059541984732824405,424,295,0.19694656488549622
4357,757,292,202,0.11889035667107001,467,284,0.2417437252311757
4358,706,278,224,0.07648725212464591,443,296,0.20821529745042494
4359,687,264,229,0.050946142649199444,417,322,0.1382823871906841
4360,695,241,202,0.05611510791366903,412,282,0.18705035971223022
4361,681,251,195,0.08223201174743022,399,284,0.16886930983847281
4362,737,249,193,0.0759837177747626,442,293,0.20217096336499324
4363,666,246,185,0.09159159159159158,423,262,0.24174174174174168
4364,576,204,176,0.048611111111111105,341,251,0.15624999999999994
4365,692,273,206,0.0968208092485549,429,301,0.18497109826589597
4366,719,291,229,0.08623087621696801,454,304,0.20862308762169685
4367,715,282,192,0.1258741258741259,469,263,0.2881118881118881
4368,759,269,209,0.07905138339920947,508,306,0.26613965744400525
4369,664,245,174,0.10692771084337349,425,256,0.25451807228915657
4370,587,233,195,0.06473594548551959,368,266,0.17376490630323682
4371,755,285,214,0.09403973509933772,475,311,0.21721854304635763
4372,640,257,203,0.08437499999999998,402,279,0.19218750000000007
4373,726,296,220,0.1046831955922865,482,314,0.231404958677686
4374,638,264,209,0.08620689655172414,432,278,0.24137931034482757
4375,668,251,187,0.09580838323353291,417,299,0.17664670658682635
4376,663,261,200,0.09200603318250378,426,296,0.19607843137254904
4377,717,262,194,0.09483960948396097,438,272,0.23152022315202236
